# SOLIS VSM 6302L/core Polar Mean Radial Field (Filtered) Time Series Parameter Data
#
# This file contains a filtered time series of parameter values measured
# from 630.15nm Fe line core magnetograms made with the Vector
# SpectroMagnetograph (VSM) instrument on the Synoptic Optical
# Long-term Investigations of the Sun (SOLIS) telescope.  SOLIS
# was designed and built by the National Solar Observatory (NSO)
# and is operated by the NSO Integrated Synoptic Program (NISP).
# This file was created on Nov 4, 2016 at 02:19:42 (UTC) with
# version 1.3 of the routine solis_vsm_polarfield_filter.pro.
#
# The data columns below are described as follows (note that all 
# measurements correspond to longitudes between -50 and 50 degrees):
#
# Column  1: UT year [YYYY]
# Column  2: UT month [MM]
# Column  3: UT day [DD]
# Column  4: UT time [HHMM]
# Column  5: Julian day number corresponding to columns 1-4 [days]
# Column  6: Mean net magnetic flux for latitudes between -75 and -60 degrees [Gauss]
# Column  7: Error in the mean corresponding to Column 6 [Gauss]
# Column  8: Mean net magnetic flux for latitudes between -75 and -65 degrees [Gauss]
# Column  9: Error in the mean corresponding to Column 8 [Gauss]
# Column 10: Mean net magnetic flux for latitudes between -70 and -60 degrees [Gauss]
# Column 11: Error in the mean corresponding to Column 10 [Gauss]
# Column 12: Mean net magnetic flux for latitudes between 60 and 75 degrees [Gauss]
# Column 13: Error in the mean corresponding to Column 12 [Gauss]
# Column 14: Mean net magnetic flux for latitudes between 60 and 70 degrees [Gauss]
# Column 15: Error in the mean corresponding to Column 14 [Gauss]
# Column 16: Mean net magnetic flux for latitudes between 65 and 75 degrees [Gauss]
# Column 17: Error in the mean corresponding to Column 16 [Gauss]
#
 2004 06 05 1200 2453162.0000   4.724 0.0331   5.333 0.0523   4.483 0.0437  -4.044 0.0401  -3.559 0.0439  -5.069 0.0477
 2004 06 06 1200 2453163.0000   4.723 0.0331   5.334 0.0523   4.481 0.0438  -4.041 0.0401  -3.556 0.0439  -5.067 0.0477
 2004 06 07 1200 2453164.0000   4.726 0.0330   5.338 0.0522   4.482 0.0438  -4.038 0.0401  -3.552 0.0439  -5.064 0.0477
 2004 06 08 1200 2453165.0000   4.727 0.0329   5.342 0.0520   4.482 0.0438  -4.035 0.0401  -3.548 0.0439  -5.061 0.0478
 2004 06 09 1200 2453166.0000   4.727 0.0329   5.345 0.0520   4.480 0.0438  -4.030 0.0400  -3.543 0.0438  -5.056 0.0478
 2004 06 10 1200 2453167.0000   4.729 0.0329   5.349 0.0519   4.479 0.0438  -4.027 0.0400  -3.540 0.0437  -5.052 0.0478
 2004 06 11 1200 2453168.0000   4.725 0.0331   5.348 0.0520   4.475 0.0441  -4.029 0.0402  -3.542 0.0438  -5.060 0.0482
 2004 06 12 1200 2453169.0000   4.723 0.0333   5.353 0.0517   4.469 0.0444  -4.030 0.0402  -3.542 0.0438  -5.061 0.0482
 2004 06 13 1200 2453170.0000   4.726 0.0330   5.361 0.0511   4.467 0.0445  -4.027 0.0400  -3.540 0.0437  -5.062 0.0482
 2004 06 14 1200 2453171.0000   4.728 0.0329   5.367 0.0509   4.466 0.0445  -4.023 0.0400  -3.535 0.0437  -5.059 0.0483
 2004 06 15 1200 2453172.0000   4.730 0.0329   5.371 0.0508   4.465 0.0446  -4.018 0.0399  -3.531 0.0436  -5.055 0.0483
 2004 06 16 1200 2453173.0000   4.730 0.0329   5.375 0.0507   4.462 0.0447  -4.020 0.0400  -3.531 0.0436  -5.063 0.0483
 2004 06 17 1200 2453174.0000   4.724 0.0331   5.369 0.0508   4.457 0.0451  -4.015 0.0399  -3.525 0.0434  -5.058 0.0484
 2004 06 18 1200 2453175.0000   4.725 0.0331   5.368 0.0508   4.459 0.0450  -4.013 0.0399  -3.525 0.0434  -5.057 0.0484
 2004 06 19 1200 2453176.0000   4.726 0.0332   5.370 0.0509   4.458 0.0450  -4.010 0.0398  -3.521 0.0433  -5.052 0.0487
 2004 06 20 1200 2453177.0000   4.727 0.0332   5.374 0.0508   4.456 0.0451  -4.007 0.0398  -3.518 0.0433  -5.049 0.0487
 2004 06 21 1200 2453178.0000   4.729 0.0331   5.380 0.0508   4.457 0.0451  -4.003 0.0399  -3.514 0.0433  -5.044 0.0488
 2004 06 22 1200 2453179.0000   4.731 0.0331   5.387 0.0508   4.455 0.0451  -3.998 0.0400  -3.508 0.0434  -5.038 0.0491
 2004 06 23 1200 2453180.0000   4.736 0.0332   5.396 0.0510   4.457 0.0451  -3.995 0.0400  -3.504 0.0434  -5.033 0.0493
 2004 06 24 1200 2453181.0000   4.736 0.0332   5.400 0.0509   4.456 0.0452  -3.992 0.0400  -3.501 0.0434  -5.029 0.0493
 2004 06 25 1200 2453182.0000   4.735 0.0333   5.402 0.0508   4.452 0.0453  -3.989 0.0400  -3.496 0.0434  -5.026 0.0494
 2004 06 26 1200 2453183.0000   4.737 0.0332   5.406 0.0509   4.451 0.0454  -3.981 0.0402  -3.489 0.0434  -5.018 0.0496
